Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
1_check,if_check,-9223372036854775808,100,150000,0,1,0.06636,1.50693e+07,9954,9982.58,10639,6421.2,80.1324,6.48542,46.3449,0.35666
2_check,if_check,-9223372036854775808,100,150000,0,1,0.0726267,1.3769e+07,10894,10907.7,11197,1305.52,36.1319,6.76849,47.3278,0.378336
4_check,if_check,-9223372036854775808,100,150000,0,1,0.0849267,1.17749e+07,12739,12791.9,14662,36142.4,190.112,9.66324,92.5453,0.277995
8_check,if_check,-9223372036854775808,100,150000,0,1,0.11406,8.76732e+06,17109,17155,17510,2092.82,45.7473,5.67925,38.7729,1.00618
16_check,if_check,-9223372036854775808,100,150000,0,1,0.165307,6.04936e+06,24796,24879.7,25800,19068.4,138.088,5.50883,32.0998,0.606062
32_check,if_check,-9223372036854775808,100,150000,0,1,0.26868,3.7219e+06,40302,40348,40590,1702.52,41.2615,3.58482,15.0199,1.11508
1_check,exception,-9223372036854775808,100,150000,0,1.03325,0.0685667,1.45843e+07,10285,10340.7,10590,3763.8,61.3498,1.40108,1.70185,0.908234
2_check,exception,-9223372036854775808,100,150000,0,1.04498,0.0758933,1.31764e+07,11384,11412.3,11775,2609.73,51.0856,5.04862,28.3443,0.553385
4_check,exception,-9223372036854775808,100,150000,0,1.04098,0.0884067,1.13114e+07,13261,13310.5,14861,44859.3,211.8,6.69673,43.7906,0.233947
8_check,exception,-9223372036854775808,100,150000,0,1.00181,0.114267,8.75146e+06,17140,17168.4,17536,3313.6,57.5639,5.2966,29.1862,0.493886
16_check,exception,-9223372036854775808,100,150000,0,1.00367,0.165913,6.02724e+06,24887,24923.8,25185,1856.09,43.0824,4.42113,21.9306,0.853713
32_check,exception,-9223372036854775808,100,150000,0,1.00199,0.269213,3.71453e+06,40382,40415,40575,1291.34,35.9352,3.11879,9.7513,0.916927
